k,silhouette_score
2.0,0.16575849063651163
3.0,0.15325838683330645
4.0,0.16880879948509087
5.0,0.14070265046786387
6.0,0.16796639322867896
7.0,0.13519105995094546
8.0,0.12863797021094045
